material_id,formula_pretty,source_collection,material_status,bucket,channel_quality,cif_path
2dm-482,SnO,Vertical_NM_Sample_100_v1,>=1 filtered channel,high-quality,electron_x=filtered;hole_x=filtered;electron_y=weak;hole_y=caution,材料/high-quality/2dm-482__SnO.cif
2dm-4825,SrTa2H2O7,Vertical_NM_Sample_200_v2,no retained channel,not retained,electron_x=weak;hole_x=weak;electron_y=weak;hole_y=weak,材料/not retained/2dm-4825__SrTa2H2O7.cif
2dm-4846,YBrO,Vertical_NM_Sample_100,no retained channel,not retained,electron_x=weak;hole_x=weak;electron_y=weak;hole_y=weak,材料/not retained/2dm-4846__YBrO.cif
2dm-485,ZnCl2,Vertical_NM_Sample_100,no retained channel,not retained,electron_x=weak;hole_x=weak;electron_y=weak;hole_y=weak,材料/not retained/2dm-485__ZnCl2.cif
2dm-4851,Te2SO7,Vertical_NM_Sample_100,>=1 filtered channel,high-quality,electron_x=weak;hole_x=filtered;electron_y=weak;hole_y=filtered,材料/high-quality/2dm-4851__Te2SO7.cif
2dm-4852,ZnP2(HO)4,Vertical_NM_Sample_100_v1,caution-only,moderate-quality,electron_x=weak;hole_x=caution;electron_y=weak;hole_y=weak,材料/moderate-quality/2dm-4852__ZnP2_HO_4.cif
2dm-4861,AgI,Vertical_NM_Sample_50_2_v7,no retained channel,not retained,electron_x=weak;hole_x=weak;electron_y=weak;hole_y=weak,材料/not retained/2dm-4861__AgI.cif
2dm-4877,Zn(BH4)2,Vertical_NM_Sample_100_v1,>=1 filtered channel,high-quality,electron_x=filtered;hole_x=filtered;electron_y=weak;hole_y=weak,材料/high-quality/2dm-4877__Zn_BH4_2.cif
2dm-4911,ErClO,Vertical_NM_Sample_200_v2,caution-only,moderate-quality,electron_x=weak;hole_x=weak;electron_y=caution;hole_y=weak,材料/moderate-quality/2dm-4911__ErClO.cif
2dm-4912,SiP2,Vertical_NM_Sample_50_v3,>=1 filtered channel,high-quality,electron_x=filtered;hole_x=weak;electron_y=weak;hole_y=filtered,材料/high-quality/2dm-4912__SiP2.cif
2dm-4917,NdIO,Vertical_NM_Sample_100_v1,caution-only,moderate-quality,electron_x=caution;hole_x=caution;electron_y=weak;hole_y=weak,材料/moderate-quality/2dm-4917__NdIO.cif
2dm-4918,SrTiSi2O7,Vertical_NM_Sample_200_v2,caution-only,moderate-quality,electron_x=caution;hole_x=weak;electron_y=caution;hole_y=caution,材料/moderate-quality/2dm-4918__SrTiSi2O7.cif
2dm-4928,ZnSe,Vertical_NM_Sample_200_v2,>=1 filtered channel,high-quality,electron_x=filtered;hole_x=weak;electron_y=filtered;hole_y=weak,材料/high-quality/2dm-4928__ZnSe.cif
2dm-4961,AgBrO4,Vertical_NM_Sample_200_v2,>=1 filtered channel,high-quality,electron_x=filtered;hole_x=filtered;electron_y=filtered;hole_y=filtered,材料/high-quality/2dm-4961__AgBrO4.cif
2dm-4968,SmIO,Vertical_NM_Sample_200_v2,>=1 filtered channel,high-quality,electron_x=filtered;hole_x=weak;electron_y=filtered;hole_y=weak,材料/high-quality/2dm-4968__SmIO.cif
2dm-4969,SbTeClO3,Vertical_NM_Sample_200_v2,no retained channel,not retained,electron_x=weak;hole_x=weak;electron_y=weak;hole_y=weak,材料/not retained/2dm-4969__SbTeClO3.cif
2dm-498,CdI2,Vertical_NM_Sample_200_v2,>=1 filtered channel,high-quality,electron_x=filtered;hole_x=weak;electron_y=filtered;hole_y=filtered,材料/high-quality/2dm-498__CdI2.cif
2dm-4980,ZnSeO3,Vertical_NM_Sample_50_v3,>=1 filtered channel,high-quality,electron_x=caution;hole_x=weak;electron_y=weak;hole_y=filtered,材料/high-quality/2dm-4980__ZnSeO3.cif
2dm-5043,ZnGaNO,Vertical_NM_Sample_50_v3,>=1 filtered channel,high-quality,electron_x=filtered;hole_x=weak;electron_y=filtered;hole_y=weak,材料/high-quality/2dm-5043__ZnGaNO.cif
2dm-5051,HoIO,Vertical_NM_Sample_50_v3,>=1 filtered channel,high-quality,electron_x=filtered;hole_x=weak;electron_y=filtered;hole_y=weak,材料/high-quality/2dm-5051__HoIO.cif
2dm-5058,TaTl(CuS2)2,Vertical_NM_Sample_100_v1,>=1 filtered channel,high-quality,electron_x=weak;hole_x=filtered;electron_y=weak;hole_y=filtered,材料/high-quality/2dm-5058__TaTl_CuS2_2.cif
2dm-5060,NbPO5,Vertical_NM_Sample_100_v1,>=1 filtered channel,high-quality,electron_x=caution;hole_x=filtered;electron_y=caution;hole_y=filtered,材料/high-quality/2dm-5060__NbPO5.cif
2dm-5071,KCSN,Vertical_NM_Sample_100_v1,no retained channel,not retained,electron_x=failed;hole_x=failed;electron_y=failed;hole_y=failed,材料/not retained/2dm-5071__KCSN.cif
2dm-5081,AgPb4ClO4,Vertical_NM_Sample_100,no retained channel,not retained,electron_x=weak;hole_x=weak;electron_y=weak;hole_y=weak,材料/not retained/2dm-5081__AgPb4ClO4.cif
2dm-5093,RbAuS,Vertical_NM_Sample_200_v2,>=1 filtered channel,high-quality,electron_x=filtered;hole_x=filtered;electron_y=filtered;hole_y=filtered,材料/high-quality/2dm-5093__RbAuS.cif
2dm-5102,LiH2IO,Vertical_NM_Sample_100_v1,no retained channel,not retained,electron_x=weak;hole_x=weak;electron_y=weak;hole_y=weak,材料/not retained/2dm-5102__LiH2IO.cif
2dm-5107,KHCO2,Vertical_NM_Sample_50_v3,>=1 filtered channel,high-quality,electron_x=weak;hole_x=weak;electron_y=filtered;hole_y=filtered,材料/high-quality/2dm-5107__KHCO2.cif
2dm-5116,SnSe,Vertical_NM_Sample_50_v3,>=1 filtered channel,high-quality,electron_x=weak;hole_x=filtered;electron_y=caution;hole_y=filtered,材料/high-quality/2dm-5116__SnSe.cif
2dm-5125,TlBr,Vertical_NM_Sample_200_v2,caution-only,moderate-quality,electron_x=weak;hole_x=weak;electron_y=weak;hole_y=caution,材料/moderate-quality/2dm-5125__TlBr.cif
2dm-5130,LaIO,Vertical_NM_Sample_200_v2,caution-only,moderate-quality,electron_x=weak;hole_x=caution;electron_y=weak;hole_y=weak,材料/moderate-quality/2dm-5130__LaIO.cif
2dm-5132,SnClF,Vertical_NM_Sample_100,no retained channel,not retained,electron_x=weak;hole_x=weak;electron_y=weak;hole_y=weak,材料/not retained/2dm-5132__SnClF.cif
2dm-5139,ScHO2,Vertical_NM_Sample_100,no retained channel,not retained,electron_x=weak;hole_x=weak;electron_y=weak;hole_y=weak,材料/not retained/2dm-5139__ScHO2.cif
2dm-5146,TlAsO4,Vertical_NM_Sample_50_2_v7,>=1 filtered channel,high-quality,electron_x=caution;hole_x=filtered;electron_y=caution;hole_y=filtered,材料/high-quality/2dm-5146__TlAsO4.cif
